He did n't tell the whole story and he fudged the truth to make himself sound like the victim,1
I had a very enjoyable experience and my pizza was delicious,2
***My experience was ruined by that other customer and his nagging girl*** To ask to use your coupon AFTER the receipt has already been printed ... that 's YOUR fault buddy not the associates,0
Not only that,1
but the manager was more than willing to fix the price but dudes girlfriend had to be a complete snatch face and start going off over a few dollars,1
All I can say is,1
some people will never learn how to act like an adult,0
High Roller Pizza for ME,1
was great and I thank the staff for always being so nice,2
I love my High Roller pizza yesterday,2
I have friends staying at a time share on the strip,1
So got the large high roller and it was excellent I also got two salads great,2
I ordered for a 4,1
30 pick and I got there at 4:15 and my pizza was in the oven,1
Ready on time,1
Employees were nice and friendly,2
Very clean and smelt so good I ca n't wait to try the Greece pizza you wo n't be disappointed,2
Some of the best pizza I 've ever had in my life,2
My favorite is the Greek Roulette,2
I also love the Double Down,2
Pesto-alfredo sauce,1
chicken,1
asiago & mozzarella cheese ... amazing,2
They have many different specialty pizzas,2
subs,1
even wings.Lots of choices,1
- ) There 's definitely something for everybody here,2
After months of driving by this place every day,1
we finally ordered from them,1
Our only reluctance was the price,0
We gave it a shot today,1
and were happy that it was worth it,2
We had an organic place we used to order from in Cali,1
so it 's nice to have one out here,2
Good pizza,2
it 's the closest I have gotten to NYC pizza and I like the customer service,2
They are very friendly,2
If it were possible I would give this place no stars at all,0
Ok so first of all I chose to order from this place after seeing their very convincing advertisements,1
When we ordered the pizza we chose to have it delivered,1
not only was it the wrong pizza I do n't know if it 's spaghetti sauce they put on it or what but I could n't even finish one,0
I have a free pizza now because of the mistake and I am too afraid to use it,0
When the pizza arrived the driver pulled it out the heat bag turning them on it sides so the pizzas slid to one side and when we mentioned that to him he just gave me a blank stare and didnt even say sorry,1
The hot wings were the oldest and the hardest thing that i have tasted in a very long time,0
This is the second time ive ordered from them and will MAYBE give them one more shot but i will NEVER RECOMMENED them to anyone,0
This is my first time being at High Roller Pizza,1
The staff was very friendly and sociable,2
We could n't decide on what pizza to have because they all sounded great,2
So Chef Anthony asked us what we do n't like,1
So we told him what we did n't like and yet as a couple we can never agree on anything,1
So he decided to make us our own side of the pizza,1
Once we got the pizza it smelt AMAZING,2
We took the first bite it was a little bit hot in temperature so we let it cool down for couple minutes,1
Once it cool down we tried it again and it was delicious,2
You could taste every flavor from the barbecue sauce to the cheeses into the chicken,2
You can taste the freshness of each item,2
However after having a couple slices my mouth started to burn a little and that was from their barbecue sauce,1
I told Chef Anthony and he told me that they are working on fixing that spice level,1
That made me happy,2
Overall this is one of the greater pizza places in Las Vegas,2
Yes it may be on the more expensive side however you pay for what you get,0
By far one of the best pizza places in town,2
fresh ingredients,2
and great customer service,2
The people working there were really friendly,2
and the pizza is instantly one of my new favorites,2
I wish I could give them more than 5 stars,2
Definitely recommend this place to anyone who appreciates great pizza,2
When high roller pizza first opened up I was like hmmmmm and I gave them a shot as all the ingredients were fresh and it was just a great pizza all the way around but this pizza I had today was just horrible,2
According to the lady to who my order she said there is a change of management and they changed the pizza sauce and everything else but if you want my opinion that was a bad business move as this pizza is now at the bottom of my list.Too much competition out there and other places have better pizza like Grimaldis,0
Metro,1
Rosatis Pizza,1
and other places that have much better pizza,1
This is probably the worst pizza I 've ever had,0
I would never go here again,0
The wings were total garbage and tasted like rubber,0
The pizza crust was worse than a Boboli crust you buy at the grocery store,0
All around awful,0
The Mug Root Beer was good though,2
My girlfriend & I ordered delivery,1
we also used the $ 30 for $ 40 Yelp deal,1
We ordered a Large Texas BBQ chicken / Buffalo Chicken & Turkey Sandwich our food came in 45 mins,1
Hot & Yummy,2
I loved the Texas BBQ chicken it 's now my new addiction,2
) next time I will visit the restaurant & use my 25 % off Yelp Coupon,1
My family ordered this pizza while we were staying on vacation in Las Vegas,1
The delivery service to our hotel was great -- very easy and prompt,2
Overall,1
it is extremely delicious and high-quality,2
being made with organic and natural ingredients,2
I was happy with the normal veggie pizza,2
and my kids loved the ham pizza they got,2
However,1
we also ordered a buffalo chicken pizza for my husband,1
I have to say,1
it was the most ridiculously hot sauce we have ever eaten,0
I tried some,1
and it was tear-inducing,0
even with only two bites,1
My husband loves spicy food,1
and puts Tabasco on everything,1
While he way able to finish the pizza ( I never could have ),1
it became more of a `` Man vs. Food '' challenge,1
and was n't enjoyable at all,0
And the pain lasted two days,0
) Please exercise caution if ordering the buffalo wings or buffalo pizza,0
as the sauce goes way beyond pleasantly hot to painfully hot,0
This was by far some of the best pizza I 've had in a very long time,2
My pepperoni pizza was handmade and took a good 15-20 minutes to receive,1
but the wait was worth it,2
All ingredients were made extremely fresh and I left craving more,2
I used to think Domino 's had good quality,1
but this was definitely a step above,2
I only had one small gripe,1
there was no Pepsi available ( only diet ),1
but I figured I need to drink healthy anyway and got a water,1
The manager Anthony is very polite and takes pride in his ingredients and staff,2
Would come back again,2
Great quality pizza,2
My son is a pizza lover and was happy we tried this place,2
The sandwiches are delicious too and the staff super friendly,2
Will definitely come back next time we are in Vegas,2
Not good,0
( This pizza was very bland and the crust was way too thin,0
Sad to say I would not recommend this spot,0
The service was good both workers were very nice however the pizza just was not good,0
Warm and friendly service,2
Located on Las Vegas Boulevard but has a home town feel,2
Food was priced a buck or two higher than other pizza shops but the crust is addictive,1
Over all good experience,2
Pizza is not good I 'm sad to say,0
(,1
But nice staff,2
Owner on site very positive and pleasant,2
Always delicious,2
I have gluten allergies and they have always been cautious of cross contamination,1
Difficult at a pizzeria but this is one I trust,2
This afternoon we ordered a half sausage and half pepperoni pizza,1
The delivery actually arrived quickly ( just under a half hour ),2
paid the driver cash,1
